Nodes,Edges,Latitude,Longitude
"Hon Hai Precision Industry Company, Ltd., Taipei, Taiwan, R.O.C","Institute of Traffic and Transportation, National Chiao Tung University, Taipei, Taiwan, R.O.C",,
"Hon Hai Precision Industry Company, Ltd., Taipei, Taiwan, R.O.C","Department of Industrial Engineering and Management, National Taipei University of Technology, Taipei, Taiwan, R.O.C",,
"Hon Hai Precision Industry Company, Ltd., Taipei, Taiwan, R.O.C","Department of Industrial Management, National Taiwan University of Science and Technology, Taipei, Taiwan, R.O.C",,
"Department of Industrial Engineering and Management, National Taipei University of Technology, Taipei, Taiwan, R.O.C","Institute of Traffic and Transportation, National Chiao Tung University, Taipei, Taiwan, R.O.C",,
"Department of Industrial Engineering and Management, National Taipei University of Technology, Taipei, Taiwan, R.O.C","Hon Hai Precision Industry Company, Ltd., Taipei, Taiwan, R.O.C",,
"Department of Industrial Engineering and Management, National Taipei University of Technology, Taipei, Taiwan, R.O.C","Department of Industrial Management, National Taiwan University of Science and Technology, Taipei, Taiwan, R.O.C",,
"Unidad Asociada al Instituto de Ciencia de Materiales de Madrid, CSIC, Madrid, Spain","Departamento de Matemática Aplicada y Ciencias de la Computación, Universidad de Cantabria, Santander, Spain",40.4167047,-3.7035825
"Unidad Asociada al Instituto de Ciencia de Materiales de Madrid, CSIC, Madrid, Spain","Instituto de Ciencia de Materiales, CSIC, Cantoblanco, Spain",40.4167047,-3.7035825
"Instituto de Ciencia de Materiales, CSIC, Cantoblanco, Spain","Unidad Asociada al Instituto de Ciencia de Materiales de Madrid, CSIC, Madrid, Spain",42.836215,-2.9681851
"Instituto de Ciencia de Materiales, CSIC, Cantoblanco, Spain","Departamento de Matemática Aplicada y Ciencias de la Computación, Universidad de Cantabria, Santander, Spain",42.836215,-2.9681851
"Departamento de Matemática Aplicada y Ciencias de la Computación, Universidad de Cantabria, Santander, Spain","Unidad Asociada al Instituto de Ciencia de Materiales de Madrid, CSIC, Madrid, Spain",43.4620412,-3.8099719
"Departamento de Matemática Aplicada y Ciencias de la Computación, Universidad de Cantabria, Santander, Spain","Instituto de Ciencia de Materiales, CSIC, Cantoblanco, Spain",43.4620412,-3.8099719
"Semiconductor Energy Laboratory Company Limited, Kanagawa, Japan","TFT Circuit Design Division, Semiconductor Energy Laboratory Company Limited, Kanagawa, Japan",35.4342935,139.374753
"TFT Circuit Design Division, Semiconductor Energy Laboratory Company Limited, Kanagawa, Japan","Semiconductor Energy Laboratory Company Limited, Kanagawa, Japan",35.4342935,139.374753
"School of Engineering Science, Simon Fraser University, Burnaby, BC, Canada","ECE Department, Ohio State University, Columbus, OH, USA",55.001251,-125.002441
"School of Engineering Science, Simon Fraser University, Burnaby, BC, Canada","Chonnam National University, Gwangju, South Korea",55.001251,-125.002441
"School of Engineering Science, Simon Fraser University, Burnaby, BC, Canada","Memory Division, Samsung Electronics Co., Hwasung, South Korea",55.001251,-125.002441
"School of Engineering Science, Simon Fraser University, Burnaby, BC, Canada","Department of Computing and Informatics, Bournemouth University, Poole, U.K.",55.001251,-125.002441
"Memory Division, Samsung Electronics Co., Hwasung, South Korea","ECE Department, Ohio State University, Columbus, OH, USA",37.2020663,126.83926432932712
"Memory Division, Samsung Electronics Co., Hwasung, South Korea","School of Engineering Science, Simon Fraser University, Burnaby, BC, Canada",37.2020663,126.83926432932712
"Memory Division, Samsung Electronics Co., Hwasung, South Korea","Chonnam National University, Gwangju, South Korea",37.2020663,126.83926432932712
"Memory Division, Samsung Electronics Co., Hwasung, South Korea","Department of Computing and Informatics, Bournemouth University, Poole, U.K.",37.2020663,126.83926432932712
"Chonnam National University, Gwangju, South Korea","ECE Department, Ohio State University, Columbus, OH, USA",35.1594647,126.8515034
"Chonnam National University, Gwangju, South Korea","School of Engineering Science, Simon Fraser University, Burnaby, BC, Canada",35.1594647,126.8515034
"Chonnam National University, Gwangju, South Korea","Memory Division, Samsung Electronics Co., Hwasung, South Korea",35.1594647,126.8515034
"Chonnam National University, Gwangju, South Korea","Department of Computing and Informatics, Bournemouth University, Poole, U.K.",35.1594647,126.8515034
"Department of Computing and Informatics, Bournemouth University, Poole, U.K.","ECE Department, Ohio State University, Columbus, OH, USA",50.7179472,-1.981521
"Department of Computing and Informatics, Bournemouth University, Poole, U.K.","School of Engineering Science, Simon Fraser University, Burnaby, BC, Canada",50.7179472,-1.981521
"Department of Computing and Informatics, Bournemouth University, Poole, U.K.","Chonnam National University, Gwangju, South Korea",50.7179472,-1.981521
"Department of Computing and Informatics, Bournemouth University, Poole, U.K.","Memory Division, Samsung Electronics Co., Hwasung, South Korea",50.7179472,-1.981521
"ECE Department, Ohio State University, Columbus, OH, USA","School of Engineering Science, Simon Fraser University, Burnaby, BC, Canada",40.2253569,-82.6881395
"ECE Department, Ohio State University, Columbus, OH, USA","Chonnam National University, Gwangju, South Korea",40.2253569,-82.6881395
"ECE Department, Ohio State University, Columbus, OH, USA","Memory Division, Samsung Electronics Co., Hwasung, South Korea",40.2253569,-82.6881395
"ECE Department, Ohio State University, Columbus, OH, USA","Department of Computing and Informatics, Bournemouth University, Poole, U.K.",40.2253569,-82.6881395
"Semiconductor Photonics Group, School of Physics and Centre for Telecommunication Value-Driven Research (CTVR), Trinity College Dublin, Dublin, Ireland","Photonics Group and Centre for Telecommunication Value-Chain Driven Research (CTVR), Tyndall National Institute, Cork, Ireland",53.3493795,-6.2605593
"Photonics Group and Centre for Telecommunication Value-Chain Driven Research (CTVR), Tyndall National Institute, Cork, Ireland","Semiconductor Photonics Group, School of Physics and Centre for Telecommunication Value-Chain Driven Research (CTVR), Trinity College Dublin, Dublin, Ireland",51.897077,-8.4654674
"Photonics Group and Centre for Telecommunication Value-Chain Driven Research (CTVR), Tyndall National Institute, Cork, Ireland","Semiconductor Photonics Group, School of Physics and Centre for Telecommunication Value-Driven Research (CTVR), Trinity College Dublin, Dublin, Ireland",51.897077,-8.4654674
"Tyndall National Institute, Cork, Ireland","Semiconductor Photonics Group, Trinity College Dublin, Ireland",51.897077,-8.4654674
"Tyndall National Institute, Cork, Ireland","Department of Electrical and Computer Engineering, University of California Santa Barbara, Santa Barbara, CA, USA",51.897077,-8.4654674
"Semiconductor Photonics Group, Trinity College Dublin, Ireland","Tyndall National Institute, Cork, Ireland",53.34366745,-6.254444724511822
"Semiconductor Photonics Group, Trinity College Dublin, Ireland","Department of Electrical and Computer Engineering, University of California Santa Barbara, Santa Barbara, CA, USA",53.34366745,-6.254444724511822
"Department of Electrical and Computer Engineering, University of California Santa Barbara, Santa Barbara, CA, USA","Semiconductor Photonics Group, Trinity College Dublin, Ireland",36.7014631,-118.755997
"Department of Electrical and Computer Engineering, University of California Santa Barbara, Santa Barbara, CA, USA","Tyndall National Institute, Cork, Ireland",36.7014631,-118.755997
"Semiconductor Photonics Group, School of Physics and Centre for Telecommunication Value-Chain Driven Research (CTVR), Trinity College Dublin, Dublin, Ireland","Photonics Group and Centre for Telecommunication Value-Chain Driven Research (CTVR), Tyndall National Institute, Cork, Ireland",53.3493795,-6.2605593
"TPS Engineering Department, Tokyo Electron AT Limited, Esashi, Japan","Technology Development Center, Tokyo Electron Limited, Nirasaki, Japan",41.8690714,140.1272235
"Technology Development Center, Tokyo Electron Limited, Nirasaki, Japan","TPS Engineering Department, Tokyo Electron AT Limited, Esashi, Japan",35.717518,138.409373
"Ferdinand-Braun-Institut für Höchfrequenztechnik, Berlin, Germany",,52.5170365,13.3888599
"Key Laboratory of Wide Band Gap Semiconductor Materials and Devices, School of Microelectronics, Xidian University, Xi’an, China","State Key Laboratory of Crystal Materials, Shandong University, Jinan, China",34.2607713,108.9423443
"Key Laboratory of Wide Band Gap Semiconductor Materials and Devices, School of Microelectronics, Xidian University, Xi’an, China","Enkris Semiconductor Inc., Suzhou, China",34.2607713,108.9423443
"Key Laboratory of Wide Band Gap Semiconductor Materials and Devices, School of Microelectronics, Xidian University, Xi’an, China","Electrical and Computer Engineering Department, Faculty of Engineering, King Abdulaziz University, Jeddah, Saudi Arabia",34.2607713,108.9423443
"Key Laboratory of Wide Band Gap Semiconductor Materials and Devices, School of Microelectronics, Xidian University, Xi’an, China","Institute of Microelectronics of Chinese Academy of Sciences, Beijing, China",34.2607713,108.9423443
"Key Laboratory of Wide Band Gap Semiconductor Materials and Devices, School of Microelectronics, Xidian University, Xi’an, China","National Key Laboratory of ASIC, Hebei Semiconductor Research Institute, Shijiazhuang, China",34.2607713,108.9423443
"Key Laboratory of Wide Band Gap Semiconductor Materials and Devices, School of Microelectronics, Xidian University, Xi’an, China","Laboratory of Material Surface Engineering and Nanofabrication, Xi’an Modern Chemistry Research Institute, Xi’an, China",34.2607713,108.9423443
"Department of Physics, Xiamen University, Xiamen, China","Material Science Center, Institute of Semiconductors, Chinese Academy of Sciences (CAS), Beijing, China",24.5438732,118.0768065
"Department of Physics, Xiamen University, Xiamen, China","Key Laboratory of Semiconductor Material Sciences and the Material Science Center Institute of Semiconductors, Chinese Academy of Sciences (CAS), Beijing, China",24.5438732,118.0768065
"Key Laboratory of Semiconductor Material Sciences and the Material Science Center Institute of Semiconductors, Chinese Academy of Sciences (CAS), Beijing, China","Department of Physics, Xiamen University, Xiamen, China",39.9057136,116.3912972
"Key Laboratory of Semiconductor Material Sciences and the Material Science Center Institute of Semiconductors, Chinese Academy of Sciences (CAS), Beijing, China","Material Science Center, Institute of Semiconductors, Chinese Academy of Sciences (CAS), Beijing, China",39.9057136,116.3912972
"Material Science Center, Institute of Semiconductors, Chinese Academy of Sciences (CAS), Beijing, China","Department of Physics, Xiamen University, Xiamen, China",39.9057136,116.3912972
"Material Science Center, Institute of Semiconductors, Chinese Academy of Sciences (CAS), Beijing, China","Key Laboratory of Semiconductor Material Sciences and the Material Science Center Institute of Semiconductors, Chinese Academy of Sciences (CAS), Beijing, China",39.9057136,116.3912972
"Manufacturing Technology Center, Taiwan Semiconductor Manufacturing Company, Hsinchu, Taiwan",,24.8066333,120.9686833
"Laboratory of Solid State Optoelectronics Information Technology, Institute of Semiconductors, Chinese Academy of Sciences, Beijing, China",,39.9057136,116.3912972
"Center of Compound Semiconductors and School of Electrical and Computer Engineering, Georgia Institute of Technology, Atlanta, GA, USA",,32.3293809,-83.1137366
"University of Twente, Enschede, AE, The Netherlands","Shenzhen Institute for Wide Bandgap Semiconductors (WinS), Shenzhen, China",51.9898961,4.3753701
"Shenzhen Institute for Wide Bandgap Semiconductors (WinS), Shenzhen, China","University of Twente, Enschede, AE, The Netherlands",22.5445741,114.0545429
"Department of Materials and Interfaces, Weizmann Institute of Science, Rehovot, Israel",,31.8930644,34.80340932920801
"Business Development, Atfields Manufacturing Technology Corporation, Uozu, Japan","Manufacturing Center, Tower Partners Semiconductor, Company Ltd., Uozu, Japan",36.8170731,137.4182725
"Business Development, Atfields Manufacturing Technology Corporation, Uozu, Japan","Technology Center, Tower Partners Semiconductor, Company Ltd., Uozu, Japan",36.8170731,137.4182725
"Manufacturing Center, Tower Partners Semiconductor, Company Ltd., Uozu, Japan","Business Development, Atfields Manufacturing Technology Corporation, Uozu, Japan",36.8170731,137.4182725
"Manufacturing Center, Tower Partners Semiconductor, Company Ltd., Uozu, Japan","Technology Center, Tower Partners Semiconductor, Company Ltd., Uozu, Japan",36.8170731,137.4182725
"Technology Center, Tower Partners Semiconductor, Company Ltd., Uozu, Japan","Business Development, Atfields Manufacturing Technology Corporation, Uozu, Japan",36.8170731,137.4182725
"Technology Center, Tower Partners Semiconductor, Company Ltd., Uozu, Japan","Manufacturing Center, Tower Partners Semiconductor, Company Ltd., Uozu, Japan",36.8170731,137.4182725
"Austin Silicon Technology Solutions (ASTS), Freescale Semiconductor, Inc., Austin, TX, USA","Microwave and Mixed-Signals Technologies Laboratory, Freescale Semiconductor, Inc., Tempe, AZ, USA",31.2638905,-98.5456116
"Microwave and Mixed-Signals Technologies Laboratory, Freescale Semiconductor, Inc., Tempe, AZ, USA","Austin Silicon Technology Solutions (ASTS), Freescale Semiconductor, Inc., Austin, TX, USA",34.395342,-111.763275
"Physics Department, National Cheng Kung University, Tainan County, Taiwan","Institute of Optoelectronics and Solid State Electronics, National Chiayi University, Chiayi, Taiwan",,
"Institute of Optoelectronics and Solid State Electronics, National Chiayi University, Chiayi, Taiwan","Physics Department, National Cheng Kung University, Tainan County, Taiwan",23.4591664,120.2930004
"Bright Photonics BV, Maarssen, The Netherlands","Key Laboratory of Semiconductor Materials Science and the Beijing Key Laboratory of Low Dimensional Semiconductor Materials and Devices, Institute of Semiconductors, Chinese Academy of Sciences, Beijing, China",52.1384846,5.040082
"Bright Photonics BV, Maarssen, The Netherlands","State Key Laboratory for Mesoscopic Physics, School of Physics, Peking University, Beijing, China",52.1384846,5.040082
