patent_title,IPC_1,IPC_2,IPC_3,IPC_4,inventor_countries,coords
Superorthicon-type television camera tube having target and fine-mesh metal grid coated with semiconductor material of relatively low inelastic electron reflection factor,H01J,,,,"[""PH""]","[[""14.4804"", ""120.981""], [""14.4804"", ""120.981""]]"
Gallium phosphide light-emitting diodes,H05h,,,,"[""US""]","[[""38.662"", ""-90.5643""], [""38.662"", ""-90.5643""]]"
Switching device equipped with a semiconductor memory element,H01L,H03K,G11C,,[],"[[null, null], [null, null], [null, null]]"
Electron tube including a photocathode,H01L,,,,[],"[[null, null], [null, null]]"
Junction-isolated monolithic integrated circuit device with means for preventing parasitic transistor action,H01L,,,,"[""US""]","[[""40.8648"", ""-74.2582""]]"
Semiconductor device with a control electrode in pressure contact with the semiconductor disc,H01L,,,,[],"[[null, null]]"
Aluminum for bonding Si-Ge alloys to graphite,B01J,,,,"[""US""]","[[""40.8539"", ""-74.8292""]]"
Self aligned CCD element including two levels of electrodes and method of manufacture therefor,B01J,,,,"[""US""]","[[""37.2638"", ""-122.023""]]"
Apparatus for mounting semiconductor devices,H01L,,,,[],"[[null, null], [null, null]]"
Optical coupler for transmitting light linearly between a single point and plural points,G02B,,,,"[""US""]","[[""39.9625"", ""-76.7277""]]"
Method of electrically interconnecting semiconductor elements,C25D,,,,"[""US""]","[[""40.9204"", ""-74.0391""], [""40.3173"", ""-74.6199""]]"
Superconductive barium-lead-bismuth oxides,H01B,H01C,,,"[""US""]","[[""39.7459"", ""-75.5466""]]"
Fiber coupled light emitting diode module,H01L,,,,"[""US""]","[[""42.337"", ""-71.2092""], [""42.5048"", ""-71.1956""], [""42.539"", ""-71.0481""]]"
Interlaced readout of charge stored in a charge coupled image sensing array,H01L,,,,"[""US""]","[[""40.4201"", ""-74.7146""]]"
"Coloringbook, a solid state display device",G06F,,,,"[""US""]","[[""37.8771"", ""-122.18""]]"
Bilaterally conducting zener diode and circuit therefor,H01L,H02H,,,"[""US""]","[[""33.4255"", ""-111.94""]]"
Semiconductor device with Schottky barrier,H01L,,,,[],"[[null, null], [null, null], [null, null], [null, null]]"
Electroluminescent device including dichroic and infrared reflecting components,H01L,,,,[],"[[null, null], [null, null]]"
Charge transfer device,H01L,,,,"[""US""]","[[""37.3688"", ""-122.036""]]"
Photocathodes,H01L,,,,[],"[[null, null], [null, null]]"
MIS type integrated circuit device,H01L,H03K,,,[],"[[null, null]]"
Controlled epoxy dispensing technique as related to transistor chip bonding,B67D,G01F,,,"[""US""]","[[""43.1573"", ""-77.6152""]]"
Climbing device,A62B,,,,"[""US""]","[[""41.7309"", ""-84.9327""]]"
Fine tuning power diodes with irradiation,H01L,,,,"[""US""]","[[""40.4417"", ""-79.9901""], [""40.4417"", ""-79.9901""], [""40.4417"", ""-79.9901""]]"
Process for fabricating integrated circuits utilizing ion implantation,H01L,,,,"[""US""]","[[""32.9482"", ""-96.7297""]]"
Process for the production of a pair of complementary field effect transistors,H01L,,,,[],"[[null, null]]"
Method of radiation hardening and gettering semiconductor devices,H01L,,,,"[""US""]","[[""40.2206"", ""-74.7597""], [""40.3173"", ""-74.6199""], [""40.3493"", ""-74.6593""]]"
Method and apparatus for production of liquid phase epitaxial layers of semiconductors,H01L,,,,[],"[[null, null], [null, null], [null, null], [null, null]]"
Method of manufacturing semiconductor device,H01L,,,,[],"[[null, null], [null, null], [null, null], [null, null]]"
Process of producing semiconductor planar device,H01L,,,,[],"[[null, null], [null, null], [null, null]]"
Method for forming a deposited silicon dioxide layer on a semiconductor wafer,C23C,,,,"[""US""]","[[""33.4484"", ""-112.074""], [""33.4484"", ""-112.074""], [""33.4151"", ""-111.831""]]"
Lead bonding method and apparatus,B23K,,,,"[""US""]","[[""37.3229"", ""-122.032""]]"
Electronic security card and system for authenticating card ownership,G11C,,,,"[""US""]","[[""37.3362"", ""-121.891""]]"
Detector for ionizing radiation,G01t,,,,[],"[[null, null]]"
Semiconductor circuit devices using insulated gate-type field effect elements having protective diodes,H03K,H02H,,,[],"[[null, null], [null, null], [null, null]]"
Arrangement for the production of electrical signals by way of semiconductor components which are dependent upon a magnetic field,H01L,H03K,,,[],"[[null, null]]"
Electronic shutter for a charge-coupled imager,H01L,,,,"[""US""]","[[""32.9482"", ""-96.7297""]]"
Red light-emitting gallium phosphide device,H01L,,,,[],"[[null, null], [null, null]]"
Two-dimensional transfer in charge transfer devices,H01L,,,,"[""US""]","[[""40.6984"", ""-74.4015""]]"
Multiface wire bonding method and tool,B23K,,,,"[""US""]","[[""33.6633"", ""-117.903""]]"
Process for forming monolithic semiconductor display,H01L,,,,"[""US""]","[[""28.0915"", ""-80.5662""]]"
Method of forming insulating film on interconnection layer,C25D,B01J,H01L,,[],"[[null, null], [null, null], [null, null], [null, null]]"
Photosensitive etching composition,C03C,C09K,G03C,,[],"[[null, null], [null, null]]"
Method for providing dielectric isolation in an epitaxial layer of a compound semiconductor using the plasma oxidation,B05D,,,,[],"[[null, null], [null, null]]"
Variable tap weight convolution filter,G06G,G11C,,,"[""US""]","[[""32.9482"", ""-96.7297""], [""42.3751"", ""-71.1056""]]"
Apparatus for sensing radiation and providing electrical readout,H01J,,,,"[""US""]","[[""42.7742"", ""-73.7001""]]"
Analog inverter for use in charge transfer apparatus,H03K,H01L,,,"[""US""]","[[""40.8539"", ""-74.8292""], [""40.6337"", ""-74.4074""]]"
Field effect transistor switch with electrect for control,H03K,,,,[],"[[null, null]]"
Micro-miniature light source assemblage and mounting means therefor,H05B,,,,"[""US""]","[[""40.7127"", ""-74.006""]]"
Charge storage and monitoring apparatus utilizing acoustic waves,G11C,,,,"[""US""]","[[""37.3797"", ""-122.137""], [""37.4443"", ""-122.16""]]"
Selenium rectifier,H01L,,,,[],"[[null, null], [null, null]]"
Semiconductor diode with voltage-dependent capacitance,H01L,,,,"[""RU""]","[[""55.6026"", ""37.3479""], [""55.4368"", ""37.7681""], [""55.6026"", ""37.3479""], [""55.6026"", ""37.3479""], [""55.6026"", ""37.3479""]]"
Semiconductor device having a Schottky junction and method of manufacturing same,H01L,,,,"[""NL""]","[[""51.4393"", ""5.47863""], [""51.4393"", ""5.47863""]]"
"High power, high frequency bipolar transistor with alloyed gold electrodes",H01L,,,,"[""US""]","[[""40.3015"", ""-79.5389""], [""42.1106"", ""-88.0337""], [""40.3015"", ""-79.5389""]]"
Method of producing a semiconductor arrangement,B01J,,,,[],"[[null, null]]"
Process for contact photolithography utilizing a photomask having indented channels,G03C,,,,"[""US""]","[[""40.3451"", ""-74.184""]]"
Solar cell,H01l,,,,"[""US""]","[[""42.8142"", ""-73.9396""], [""42.8142"", ""-73.9396""], [""42.8142"", ""-73.9396""]]"
Method of making a compound semiconductor layer of high resistivity,H01L,,,,[],"[[null, null]]"
Method of making a double heterojunction diode laser,H01L,,,,"[""US""]","[[""41.3359"", ""-73.874""], [""41.2709"", ""-73.7776""], [""41.3359"", ""-73.874""]]"
Process for forming sloped topography contact areas between polycrystalline silicon and single-crystal silicon,H01L,,,,"[""US""]","[[""37.3791"", ""-122.117""], [""37.3541"", ""-121.955""]]"
Integrated semiconductor device for scanning an image,H01L,,,,[],"[[null, null]]"
Supercurrent device for controlling mobile flux vortices,H03K,,,,"[""US""]","[[""40.5991"", ""-74.4731""], [""35.0841"", ""-106.651""]]"
Display structure having light emitting diodes,H01I,,,,[],"[[null, null]]"
Mounting arrangement for electronic semi-conductor devices,H01L,,,,"[""US""]","[[""39.6895"", ""-84.1688""], [""39.6723"", ""-84.2522""], [""39.7589"", ""-84.1916""]]"
Spreading resistance thermistor,H01C,,,,"[""US""]","[[""32.9482"", ""-96.7297""], [""32.9482"", ""-96.7297""]]"
Single flux quantum storage devices and sensing means therefor,G11C,,,,"[""US""]","[[""41.3104"", ""-73.7574""]]"
Segmented parallel rail paths for input/output signals,G11C,,,,"[""US""]","[[""41.8559"", ""-73.9771""], [""41.9288"", ""-74.0024""], [""41.9951"", ""-73.8756""]]"
Bipolar memory cell employing inverted transistors and pinched base resistors,G11C,,,,"[""US""]","[[""37.2638"", ""-122.023""]]"
Light-emitting diode fabrication process,H01L,,,,"[""US""]","[[""41.08"", ""-85.1386""], [""37.271"", ""-79.9414""]]"
Space-charge-limited integrated circuit structure,H01L,,,,"[""US""]","[[""41.584"", ""-73.8087""]]"
Insulated gate field effect transistor having high transconductance,H01L,,,,[],"[[null, null]]"
MOS transistor structure,H01L,,,,"[""US""]","[[""37.3797"", ""-122.137""], [""37.3797"", ""-122.137""]]"
Semiconductor device including a conductor surrounded by an insulator,H01L,,,,"[""US""]","[[""40.5743"", ""-74.6099""]]"
Fabrication of a semiconductor device,H01L,,,,"[""US""]","[[""39.6895"", ""-84.1688""]]"
Charge-coupled device and method of fabrication of the device,H01L,,,,"[""FR""]","[[""45.1437"", ""5.71927""], [""45.1876"", ""5.73578""], [""45.1876"", ""5.73578""]]"
MISFET and method of manufacture,H01L,,,,"[""US""]","[[""37.3797"", ""-122.137""]]"
Integrated power transistor with ballasting resistance and breakdown protection,H01L,H03K,,,"[""US""]","[[""40.5743"", ""-74.6099""]]"
Microwave transistor package,H01L,,,,"[""US""]","[[""42.6626"", ""-70.9977""]]"
Semiconductor devices having conductor tracks at different levels and interconnections therebetween,H01L,,,,[],"[[null, null]]"
Heat conductive mounting and connection of semiconductor chips in micro-circuitry on a substrate,H01L,,,,"[""US""]","[[""33.8037"", ""-118.32""], [""34.0356"", ""-118.689""]]"
Method for providing mounting assemblies for a plurality of transistor integrated circuit chips,B01J,,,,"[""US""]","[[""42.1389"", ""-87.9311""]]"
Fet and bipolar device and circuit process with maximum junction control,B01J,,,,"[""US""]","[[""32.9482"", ""-96.7297""], [""32.9482"", ""-96.7297""]]"
Offset voltage correction circuit for multiple video channel imager,H04N,H01L,H03B,,"[""US""]","[[""43.1065"", ""-76.2177""]]"
Multi-channel optical correlation system,G06G,,,,"[""US""]","[[""32.7174"", ""-117.163""], [""32.9628"", ""-117.036""], [""32.7174"", ""-117.163""]]"
Apparatus and method for regenerating charge,H01L,,,,"[""US""]","[[""40.6773"", ""-74.5177""]]"
Optically coupled semiconductive switching devices,H01L,,,,[],"[[null, null], [null, null], [null, null], [null, null], [null, null]]"
Semiconductor integrated circuit and method of manufacture,H01L,,,,[],"[[null, null]]"
Polycrystalline silicon pressure transducer,H01L,,,,"[""US""]","[[""42.4734"", ""-83.2219""], [""42.4933"", ""-83.0063""]]"
Process for fabricating dielectrically isolated semiconductor components of an integrated circuit,H01L,,,,"[""US""]","[[""32.9482"", ""-96.7297""]]"
Narrow lead contact for automatic face down bonding of electronic chips,H01L,,,,"[""US""]","[[""40.2102"", ""-77.0047""], [""40.2398"", ""-76.92""]]"
Process for treatment of semiconductor,B01j,,,,[],"[[null, null], [null, null]]"
Vertical channel junction field-effect transistors and method of manufacture,B01J,,,,"[""US""]","[[""33.4942"", ""-111.926""], [""33.4942"", ""-111.926""], [""33.4942"", ""-111.926""]]"
Schottky barrier diode semiconductor structure and method,B01J,,,,"[""US""]","[[""37.3688"", ""-122.036""]]"
Process for depositing the deposition agent on the surface of a number of semiconductor substrates,H01L,,,,[],"[[null, null], [null, null], [null, null]]"
Method for fabricating electrode structure for a semiconductor device having a shallow junction,C25D,H01L,,,[],"[[null, null], [null, null]]"
Thermal record printer head and method of making the same,H05B,,,,[],"[[null, null], [null, null]]"
Method of manufacturing semiconductor device and resulting product,H01L,,,,[],"[[null, null], [null, null]]"
Strip type radiation detector and method of making same,B01J,,,,[],"[[null, null], [null, null], [null, null]]"
Electronic timepiece semiconductor intergrated circuit,G04C,H03K,,,[],"[[null, null]]"
Method of making a semiconductor device,H01L,,,,[],"[[null, null], [null, null], [null, null], [null, null]]"
Flash melting method for producing new impurity distributions in solids,H01L,,,,"[""US""]","[[""39.0258"", ""-77.075""], [""38.8036"", ""-76.9897""]]"
Method for growing epitaxial layers from the liquid phase,H01L,,,,"[""FR"", ""NL""]","[[""51.4393"", ""5.47863""], [""51.4393"", ""5.47863""], [""48.8535"", ""2.34839""]]"
Selective plasma etching and deposition,B05D,,,,[],"[[null, null]]"
Semi-conducting materials and a method for the manufacture thereof,H01L,B05D,,,"[""US""]","[[""41.8756"", ""-87.6244""], [""42.0953"", ""-87.9376""]]"
Signal processing imager array using charge transfer concepts,G06G,H01L,,,"[""US""]","[[""32.7174"", ""-117.163""], [""32.7174"", ""-117.163""]]"
Small-sized synchronous motor,H02K,,,,[],"[[null, null]]"
Method for providing reconfigurable microelectronic circuit devices and products produced thereby,H01L,,,,"[""US""]","[[""33.7873"", ""-117.85""]]"
Integrated composite semiconductor light-emitting display array having LED's and selectively addressable memory elements,G06F,,,,"[""US""]","[[""37.3229"", ""-122.032""]]"
Majority carriers-variable threshold rectifier and/or voltage reference semiconductor structure,H01L,,,,"[""US""]","[[""37.3791"", ""-122.117""]]"
Semiconductor device,H01L,,,,"[""FR""]","[[""49.1813"", ""-0.363562""]]"
Semiconductor I.C. with protection against reversed power supply,H01L,H02H,,,"[""US""]","[[""42.439"", ""-71.7666""]]"
Device for connecting leadless integrated circuit package to a printed circuit board,H01L,H02B,H05K,,"[""US""]","[[""40.3089"", ""-76.5932""], [""40.2663"", ""-76.8861""], [""40.2654"", ""-76.7083""]]"
Mounting for locking disc shaped semiconductor element in a housing,H01L,,,,[],"[[null, null]]"
Scannable light emitting diode array and method,B01J,,,,"[""US""]","[[""33.4484"", ""-112.074""]]"
Method of fabricating ion implanted znse p-n junction devices,B01J,,,,"[""US""]","[[""39.6895"", ""-84.1688""], [""39.7589"", ""-84.1916""]]"
Fish lure,A01K,,,,"[""US""]","[[""37.3894"", ""-122.083""]]"
Sn-Doped group III(a)-v(a) Ga-containing layers grown by molecular beam epitaxy,H01L,,,,"[""US""]","[[""40.6984"", ""-74.4015""]]"
Glass passivated gold diffused SCR pellet and method for making,H01L,,,,"[""US""]","[[""42.932"", ""-76.5672""], [""42.947"", ""-76.4291""]]"
Diaphragm formation on silicon substrate,C23F,,,,"[""US""]","[[""42.4734"", ""-83.2219""]]"
Method of fabricating a charged couple radiation sensing device,H01L,,,,"[""US""]","[[""40.3493"", ""-74.6593""]]"
Method of manufacturing light sensitive heterodiode,C23C,,,,[],"[[null, null], [null, null], [null, null], [null, null], [null, null]]"
Electronic circuit package and method of brazing,H05K,,,,"[""US""]","[[""32.7425"", ""-117.031""]]"
Corona-free high voltage connector,H01L,H04N,H01R,,"[""US""]","[[""41.8795"", ""-87.8137""]]"
Transient suppressor,H04M,H03K,H01L,,"[""US""]","[[""40.6409"", ""-74.8813""]]"
Read only memory,G06K,G08C,G11C,,"[""US""]","[[""30.2711"", ""-97.7437""]]"
Joule-Thomson cryostat cooled infrared cell having a built-in thermostat sensing element,G01J,,,,"[""US""]","[[""34.6391"", ""-120.458""], [""34.6391"", ""-120.458""], [""34.4358"", ""-119.828""]]"
Charge transfer device for frequency filtering respective time segments of an input signal,G11C,H03H,G01S,,"[""US""]","[[""32.9482"", ""-96.7297""]]"
"Monolithic, milticolor, light emitting diode display device",H05B,,,,"[""US""]","[[""33.4942"", ""-111.926""]]"
CCD stack memory organization,G11C,,,,"[""US""]","[[""40.3493"", ""-74.6593""]]"
Polychromatic electroluminescent device,H01L,,,,"[""FR""]","[[""49.1383"", ""-0.349273""]]"
"High frequency, field-effect transistor",H01L,,,,"[""US""]","[[""40.3856"", ""-79.7596""], [""40.4417"", ""-79.9901""]]"
Semiconductor device with multi-layered metal interconnections,H01L,,,,"[""NL""]","[[""51.4393"", ""5.47863""], [""51.4393"", ""5.47863""]]"
Semiconductor devices and methods of manufacturing same,B01J,,,,[],"[[null, null], [null, null], [null, null]]"
Ohmic contact for semiconductor devices,B01J,,,,"[""US""]","[[""37.3688"", ""-122.036""]]"
Semiconductor element,B01J,,,,[],"[[null, null], [null, null]]"
Related to the manufacture of lead frames and the mounting of semiconductor devices thereon,B01J,,,,[],"[[null, null], [null, null]]"
Cooling arrangement for flat semiconductor components,F28D,H01L,,,[],"[[null, null]]"
Method for controlling the degree of side-etch in thin oxide films by photo-etching process,G03C,B60B,,,[],"[[null, null], [null, null], [null, null], [null, null]]"
Triac with gold diffused boundary,H01L,,,,"[""US""]","[[""42.932"", ""-76.5672""], [""42.947"", ""-76.4291""]]"
Process for the fabrication of silicon transistors with high DC current gain,H01L,,,,[],"[[null, null]]"
Gallium-phosphorus simultaneous diffusion process,H01L,,,,"[""US""]","[[""42.932"", ""-76.5672""]]"
Selective removal of material by sputter etching,C23C,,,,"[""US""]","[[""42.0334"", ""-88.0834""], [""40.6022"", ""-75.4713""]]"
Variable gain control circuit,H04R,H03G,,,[],"[[null, null]]"
Superconductive circuit level converter,H03K,,,,"[""US""]","[[""41.7066"", ""-73.9284""]]"
Thyristor column,H02M,,,,[],"[[null, null], [null, null]]"
Mechanical structure for mounting microwave diode packages,H01P,,,,"[""US""]","[[""40.4209"", ""-74.5607""], [""39.9527"", ""-75.1635""]]"
Integrated circuit digital pattern detector,G06F,,,,[],"[[null, null]]"
"High reliability, low leakage, self-aligned silicon gate FET and method of fabricating same",H01L,,,,"[""US""]","[[""41.7066"", ""-73.9284""], [""41.7066"", ""-73.9284""]]"
Three level electrode configuration for three phase charge coupled device,H01L,,,,"[""US""]","[[""32.9482"", ""-96.7297""]]"
Metal-insulator-semiconductor structure having means for canceling noise,H01L,,,,"[""US""]","[[""32.9126"", ""-96.6389""]]"
Low interelectrode leakage structure for charge-coupled devices,H01L,,,,"[""KR""]","[[""37.5791"", ""126.937""]]"
Transistor,H01L,,,,[],"[[null, null]]"
Semiconductor device,H01L,,,,[],"[[null, null], [null, null], [null, null]]"
Semiconductor controlled rectifier,H01L,,,,[],"[[null, null]]"
Thyristor,H01L,,,,"[""CH""]","[[null, null], [""47.4786"", ""8.31539""], [""47.4421"", ""8.36181""]]"
Light-activated semiconductor-controlled rectifier,H01L,,,,[],"[[null, null], [null, null], [null, null], [null, null], [null, null]]"
LSI array using field effect transistors of different conductivity type,H01L,,,,"[""US""]","[[""39.8912"", ""-74.9218""]]"
Semiconductor devices,H01L,,,,[],"[[null, null], [null, null]]"
Threshold switching integrated circuit and method for forming the same,H01L,,,,"[""US""]","[[""37.9105"", ""-122.28""], [""37.3362"", ""-121.891""], [""37.3229"", ""-122.032""]]"
SOS Bipolar transistor,H01L,,,,"[""US""]","[[""40.3173"", ""-74.6199""], [""40.3493"", ""-74.6593""]]"
Method of making a high frequency semiconductor package,H01L,,,,"[""US""]","[[""33.4484"", ""-112.074""]]"
Semiconductor package with integral hermeticity detector,H01L,,,,"[""US""]","[[""40.8245"", ""-74.2846""], [""40.8682"", ""-73.4257""]]"
Semiconductor device and method of manufacture therefor,B01J,,,,"[""US""]","[[""43.002"", ""-75.9769""]]"
Application of facet-growth to self-aligned Shottky barrier gate field effect transistors,H01L,,,,"[""US""]","[[""40.3856"", ""-79.7596""], [""40.4284"", ""-79.6975""]]"
Hollow cavity package electronic unit,B01J,,,,[],"[[null, null], [null, null], [null, null]]"
Method for fabrication of integrated circuit structure with full dielectric isolation utilizing selective oxidation,H01L,,,,"[""US""]","[[""41.584"", ""-73.8087""], [""41.584"", ""-73.8087""]]"
Organic superconductors with high transition temperatures and high critical magnetic fields,C07J,,,,"[""US""]","[[""38.9786"", ""-76.4928""], [""38.9786"", ""-76.4928""]]"
Method and apparatus for improving acousto-electric scanning,H04N,H01V,,,"[""US""]","[[""37.4275"", ""-122.17""]]"
Charge transfer apparatus having light sensitivity control means,H01J,,,,[],"[[null, null]]"
Charge transfer device signal processing,H01L,G08C,,,"[""US""]","[[""32.9482"", ""-96.7297""], [""32.9482"", ""-96.7297""]]"
Charge transfer delay line filters,H03H,H01L,,,"[""US""]","[[""40.6984"", ""-74.4015""]]"
Semiconductor memory employing charge-coupled shift registers with multiplexed refresh amplifiers,G11C,,,,"[""US""]","[[""37.3541"", ""-121.955""]]"
Series logic circuit arrangement using a plurality of complementary IGFET's,G08B,,,,[],"[[null, null], [null, null]]"
"High speed, high power plasma thyristor circuit",H01L,,,,"[""US""]","[[""42.9117"", ""-73.8682""], [""40.4417"", ""-79.9901""]]"
Semiconductor diode with layers of different but related resistivities,H01L,,,,"[""RU""]","[[""55.6026"", ""37.3479""]]"
Semiconductor structure having contact openings with sloped side walls,H01L,,,,"[""US""]","[[""37.3362"", ""-121.891""]]"
Charge effects in doped silicon dioxide,H01L,,,,"[""US""]","[[""40.5684"", ""-74.5385""], [""40.7195"", ""-74.8357""]]"
Semiconductor integrated circuit device having a conductive plane and a diffused network of conductive tracks,H01L,,,,[],"[[null, null], [null, null]]"
Read-write magnetoresistive transducer having a plurality of MR elements,G11B,H01C,G01R,,"[""FR""]","[[""49.0457"", ""3.40271""]]"
Method of making an integrated optical detector,H01L,,,,"[""US""]","[[""34.1476"", ""-118.144""], [""34.0356"", ""-118.689""], [""34.1476"", ""-118.144""], [""34.1617"", ""-118.053""]]"
"Metallization system for semiconductor devices, devices utilizing such metallization system and method for making devices and metallization system",B01J,,,,"[""US""]","[[""33.4484"", ""-112.074""], [""33.4942"", ""-111.926""]]"
Method of making integrated circuits,B01J,,,,[],"[[null, null], [null, null]]"
Method of ion implantation through an electrically insulative material,H01L,,,,"[""US""]","[[""41.7066"", ""-73.9284""], [""41.5966"", ""-73.9112""], [null, null]]"
"Method for fabricating double-diffused, lateral transistors",H01L,,,,"[""US""]","[[""37.4863"", ""-122.233""], [""37.3894"", ""-122.083""]]"
Method of manufacturing superconductors of .beta.-tungsten structure,H01L,,,,"[""NL""]","[[""52.6313"", ""4.75038""]]"
Semiconductor image sensor,H04N,,,,[],"[[null, null], [null, null]]"
Method of fabricating a sealing cover for an hermetically sealed container,B23K,,,,"[""US""]","[[""41.6109"", ""-73.7129""]]"
Charge transfer device having control means for its photoelectric conversion characteristics,H01L,,,,[],"[[null, null], [null, null]]"
Analogue shift register correlators,H03K,G11C,H01L,,"[""US""]","[[""32.7763"", ""-96.7969""], [""32.7763"", ""-96.7969""]]"
Dispersion compensated circuitry for analog charged systems,H01L,G11C,,,"[""US""]","[[""32.9482"", ""-96.7297""]]"
Signal collecting and distributing systems,H05B,,,,[],"[[null, null], [null, null], [null, null], [null, null], [null, null], [null, null], [null, null]]"
Island assembly employing cooling means for high density integrated circuit packaging,H01L,,,,"[""US""]","[[""46.4556"", ""-90.1684""], [""40.1304"", ""-75.5149""], [""40.044"", ""-75.3879""], [""40.1215"", ""-75.3399""]]"
Fail-safe four leaded zener diode arrangement,H02H,,,,"[""US""]","[[""40.4417"", ""-79.9901""]]"
Injection semiconductor laser device,H01S,,,,[],"[[null, null], [null, null]]"
Microwave solid state circuit employing a bipolar transistor structure,H03B,H03F,,,[],"[[null, null], [null, null]]"
Normally off schottky barrier field effect transistor and method of fabrication,H01L,,,,"[""US""]","[[""37.3229"", ""-122.032""]]"
Low impedance diode mounting structure and housing,H01L,,,,"[""US""]","[[""38.8823"", ""-77.1711""]]"
Minimizing cross-talk in L.E.D. arrays,H01L,H01S,,,"[""US""]","[[""41.7066"", ""-73.9284""], [""44.467"", ""-73.171""]]"
Resistive gate field effect transistor,H01L,,,,"[""US""]","[[""42.8929"", ""-73.8212""], [""42.8142"", ""-73.9396""]]"
Field effect transistor structure for minimizing parasitic inversion and process for fabricating,H01L,,,,"[""US""]","[[""41.584"", ""-73.8087""], [""41.7066"", ""-73.9284""]]"
Two level electrode configuration for three phase charge coupled device,H01L,,,,"[""US""]","[[""32.7763"", ""-96.7969""]]"
Multi phase double level metal charge coupled device,H01L,G08C,,,"[""US""]","[[""32.7763"", ""-96.7969""], [""32.7763"", ""-96.7969""]]"
Electret transducer having an electret of inorganic insulating material,H01L,,,,[],"[[null, null], [null, null], [null, null]]"
Opto-coupler,H01L,,,,"[""US""]","[[""33.4484"", ""-112.074""]]"
High frequency field-effect transistors and method of making same,H01L,,,,[],"[[null, null], [null, null]]"
Multi-emitter transistor having heavily doped N+ regions surrounding base region of transistors,H01L,,,,[],"[[null, null], [null, null], [null, null]]"
Interconnect system for integrated circuits,H01L,,,,"[""US""]","[[""28.0915"", ""-80.5662""]]"
Semiconductor device,H01L,,,,[],"[[null, null], [null, null], [null, null]]"
Encapsulation package for a semiconductor element,H01L,,,,[],"[[null, null], [null, null], [null, null], [null, null], [null, null], [null, null]]"
Self-fusing transcalent electrical device,H01L,F28F,H02H,,"[""US""]","[[""40.0381"", ""-76.3057""]]"
Method of forming junction regions utilizing R.F. sputtering,H01L,,,,"[""US""]","[[""37.3791"", ""-122.117""]]"
Method of manufacturing semiconductor devices,H01L,,,,"[""NL""]","[[""51.8475"", ""5.86378""], [""51.4393"", ""5.47863""]]"
Etching of group III-V semiconductors,H01L,,,,"[""US""]","[[""40.5463"", ""-74.466""]]"
Imaging devices,H04N,,,,"[""US""]","[[""42.3751"", ""-71.1056""]]"
Electron tunneling device,H01J,,,,"[""US""]","[[""42.3751"", ""-71.1056""]]"
Charge coupled device multiplexer,H01L,H03K,H04J,,"[""US""]","[[""32.7763"", ""-96.7969""], [""32.7763"", ""-96.7969""]]"
Method and system for achieving and sampling programmable tap weights in charge coupled devices,H03K,H01L,G11C,,"[""US""]","[[""32.7763"", ""-96.7969""]]"
JFET optical sensor with capacitively charged buried floating gate,H01L,,,,[],"[[null, null], [null, null], [null, null]]"
